name,gid,geom
DE08-DE09,285,"LINESTRING(7.16369421422535 50.5749990662272,7.62207335548995 49.7001520403534)"
DE10-DE18,284,"LINESTRING(10.5713937805083 48.1987561268591,12.2359023642059 48.3413394003217)"
DE12-DE10,283,"LINESTRING(9.0280324462394 48.3259187891233,10.5713937805083 48.1987561268591)"
DE11-DE12,282,"LINESTRING(9.11768871718485 49.2613887299689,9.0280324462394 48.3259187891233)"
DE17-DE11,281,"LINESTRING(11.032699970576 49.6814629758601,9.11768871718485 49.2613887299689)"
DE17-DE12,280,"LINESTRING(11.032699970576 49.6814629758601,9.0280324462394 48.3259187891233)"
DE17-DE10,279,"LINESTRING(11.032699970576 49.6814629758601,10.5713937805083 48.1987561268591)"
DE17-DE18,278,"LINESTRING(11.032699970576 49.6814629758601,12.2359023642059 48.3413394003217)"
DE09-DE11,276,"LINESTRING(7.62207335548995 49.7001520403534,9.11768871718485 49.2613887299689)"
DE09-DE17,275,"LINESTRING(7.62207335548995 49.7001520403534,11.032699970576 49.6814629758601)"
DE16-DE17,274,"LINESTRING(9.20408180190541 50.9442682052912,11.032699970576 49.6814629758601)"
DE16-DE09,273,"LINESTRING(9.20408180190541 50.9442682052912,7.62207335548995 49.7001520403534)"
DE16-DE08,272,"LINESTRING(9.20408180190541 50.9442682052912,7.16369421422535 50.5749990662272)"
DE07-DE16,271,"LINESTRING(8.02611832789396 51.4252608448197,9.20408180190541 50.9442682052912)"
DE07-DE08,270,"LINESTRING(8.02611832789396 51.4252608448197,7.16369421422535 50.5749990662272)"
DE06-DE07,269,"LINESTRING(6.81528228797147 51.5249079905116,8.02611832789396 51.4252608448197)"
DE06-DE08,268,"LINESTRING(6.81528228797147 51.5249079905116,7.16369421422535 50.5749990662272)"
DE05-DE07,267,"LINESTRING(7.58542531620187 52.4803770144024,8.02611832789396 51.4252608448197)"
DE05-DE06,266,"LINESTRING(7.58542531620187 52.4803770144024,6.81528228797147 51.5249079905116)"
DE15-DE16,265,"LINESTRING(9.90838743949477 52.3927199053649,9.20408180190541 50.9442682052912)"
DE15-DE07,264,"LINESTRING(9.90838743949477 52.3927199053649,8.02611832789396 51.4252608448197)"
DE15-DE05,263,"LINESTRING(9.90838743949477 52.3927199053649,7.58542531620187 52.4803770144024)"
DE03-DE17,262,"LINESTRING(11.2610584435437 51.1220657255745,11.032699970576 49.6814629758601)"
DE03-DE16,261,"LINESTRING(11.2610584435437 51.1220657255745,9.20408180190541 50.9442682052912)"
DE03-DE15,260,"LINESTRING(11.2610584435437 51.1220657255745,9.90838743949477 52.3927199053649)"
DE04-DE03,259,"LINESTRING(13.4816030285055 51.2578258693709,11.2610584435437 51.1220657255745)"
DE01-DE04,258,"LINESTRING(12.7172655250026 53.0449917354247,13.4816030285055 51.2578258693709)"
DE01-DE03,257,"LINESTRING(12.7172655250026 53.0449917354247,11.2610584435437 51.1220657255745)"
DE01-DE15,256,"LINESTRING(12.7172655250026 53.0449917354247,9.90838743949477 52.3927199053649)"
DE01-DE14,255,"LINESTRING(12.7172655250026 53.0449917354247,8.70298124395035 53.2314717212254)"
DE01-DE19,254,"LINESTRING(12.7172655250026 53.0449917354247,12.7325189718575 54.605159132325)"
DE13-DE01,253,"LINESTRING(9.80582809869682 54.1888268326812,12.7172655250026 53.0449917354247)"
DE13-DE02,252,"LINESTRING(9.80582809869682 54.1888268326812,10.0272087462133 53.5545681838881)"
DE13-DE20,251,"LINESTRING(9.80582809869682 54.1888268326812,7.10297517567868 54.8700695240496)"
DE14-DE05,250,"LINESTRING(8.70298124395035 53.2314717212254,7.58542531620187 52.4803770144024)"
DE14-DE15,249,"LINESTRING(8.70298124395035 53.2314717212254,9.90838743949477 52.3927199053649)"
DE14-DE02,248,"LINESTRING(8.70298124395035 53.2314717212254,10.0272087462133 53.5545681838881)"
DE14-DE13,247,"LINESTRING(8.70298124395035 53.2314717212254,9.80582809869682 54.1888268326812)"
DE14-DE21,246,"LINESTRING(8.70298124395035 53.2314717212254,6.52270189161074 54.3418970056466)"
