name,gid,geom,rotation
DE09-DE08,285,POINT(07.27 50.25),-72
DE10-DE18,284,POINT(11.00 48.35),+07
DE10-DE12,283,POINT(09.55 48.33),-07
DE12-DE11,282,POINT(08.75 48.90),+87
DE11-DE17,281,POINT(09.37 49.51),+19
DE12-DE17,280,POINT(09.56 49.10),+48
DE10-DE17,279,POINT(10.44 48.95),+77
DE18-DE17,278,POINT(11.40 49.20),-60
DE11-DE09,276,POINT(08.36 49.50),-23
DE17-DE09,275,POINT(09.00 49.73),+00
DE17-DE16,274,POINT(09.80 50.50),-46
DE09-DE16,273,POINT(07.95 50.40),+49
DE08-DE16,272,POINT(07.90 50.85),+16
DE16-DE07,271,POINT(08.35 51.30),-35
DE08-DE07,270,POINT(07.30 51.20),+57
DE06-DE07,269,POINT(07.18 51.52),-08
DE08-DE06,268,POINT(06.86 51.20),-77
DE07-DE05,267,POINT(07.75 51.95),-75
DE06-DE05,266,POINT(06.72 52.00),+65
DE16-DE15,265,POINT(09.16 51.70),+72
DE07-DE15,264,POINT(08.55 52.03),+40
DE15-DE05,263,POINT(08.50 52.48),-04
DE17-DE03,262,POINT(10.85 50.50),+84
DE16-DE03,261,POINT(10.00 51.11),+09
DE03-DE15,260,POINT(10.40 51.90),-57
DE03-DE04,259,POINT(12.00 51.25),+05
DE04-DE01,258,POINT(13.00 52.30),-75
DE03-DE01,257,POINT(11.58 52.20),+63
DE15-DE01,256,POINT(10.70 52.76),+21
DE01-DE14,255,POINT(10.40 53.19),-05
DE01-DE19,254,POINT(12.70 53.90),-90
DE01-DE13,253,POINT(11.20 53.65),-35
DE02-DE13,252,POINT(09.85 53.87),-79
DE13-DE20,251,POINT(08.45 54.55),-24
DE05-DE14,250,POINT(07.68 52.95),+48
DE15-DE14,249,POINT(09.10 52.90),-50
DE14-DE02,248,POINT(09.22 53.54),+23
DE14-DE13,247,POINT(08.87 53.85),+55
DE14-DE21,246,POINT(07.61 53.78),-42

