,geometry,name
DE02-DE01,"LINESTRING (9.941173100527415 53.56662238750881, 9.958386767475794 54.20921669613232)",DE02-DE01
DE01-DE17,"LINESTRING (9.958386767475794 54.20921669613232, 6.980900548602486 54.5871184456058)",DE02-DE17
DE03-DE01,"LINESTRING (9.27 52.97, 9.958386767475794 54.20921669613232)",DE03-DE01
DE03-DE02,"LINESTRING (9.27 52.97, 9.941173100527415 53.56662238750881)",DE03-DE02
DE03-DE04,"LINESTRING (9.27 52.97, 8.807329444210062 53.12025068765881)",DE03-DE04
DE03-DE13,"LINESTRING (9.27 52.97, 12.6607763032633 53.89755940496553)",DE03-DE13
DE04-DE17,"LINESTRING (8.807329444210062 53.12025068765881, 6.980900548602486 54.5871184456058)",DE04-DE17
DE05-DE03,"LINESTRING (7.580292138948965 51.4262307721131, 9.27 52.97)",DE05-DE03
DE06-DE03,"LINESTRING (9.018890328297207 50.52634809768823, 9.27 52.97)",DE06-DE03
DE06-DE05,"LINESTRING (9.018890328297207 50.52634809768823, 7.580292138948965 51.4262307721131)",DE06-DE05
DE06-DE16,"LINESTRING (9.018890328297207 50.52634809768823, 11.31501513625953 50.92678923242283)",DE06-DE16
DE07-DE05,"LINESTRING (7.273594990393764 49.95442338018292, 7.580292138948965 51.4262307721131)",DE07-DE05
DE07-DE06,"LINESTRING (7.273594990393764 49.95442338018292, 9.018890328297207 50.52634809768823)",DE07-DE06
DE08-DE06,"LINESTRING (9.073099768325738 48.66198741745239, 9.018890328297207 50.52634809768823)",DE08-DE06
DE08-DE07,"LINESTRING (9.073099768325738 48.66198741745239, 7.273594990393764 49.95442338018292)",DE08-DE07
DE08-DE09,"LINESTRING (9.073099768325738 48.66198741745239, 12.04782983270724 48.91810114600406)",DE08-DE09
DE09-DE06,"LINESTRING (12.04782983270724 48.91810114600406, 9.018890328297207 50.52634809768823)",DE09-DE06
DE09-DE14,"LINESTRING (12.04782983270724 48.91810114600406, 13.52187892758365 50.92827709054212)",DE09-DE14
DE09-DE16,"LINESTRING (12.04782983270724 48.91810114600406, 11.31501513625953 50.92678923242283)",DE09-DE16
DE10-DE07,"LINESTRING (6.969762780660002 49.37579125381161, 7.273594990393764 49.95442338018292)",DE10-DE07
DE11-DE12,"LINESTRING (13.39712997848588 52.50821388415868, 12.74 52.62)",DE11-DE12
DE12-DE03,"LINESTRING (12.74 52.62, 9.27 52.97)",DE12-DE03
DE12-DE13,"LINESTRING (12.74 52.62, 12.6607763032633 53.89755940496553)",DE12-DE13
DE13-DE01,"LINESTRING (12.6607763032633 53.89755940496553, 9.958386767475794 54.20921669613232)",DE13-DE01
DE14-DE12,"LINESTRING (13.52187892758365 50.92827709054212, 12.74 52.62)",DE14-DE12
DE14-DE15,"LINESTRING (13.52187892758365 50.92827709054212, 11.55920332924497 51.99003282648907)",DE14-DE15
DE15-DE03,"LINESTRING (11.55920332924497 51.99003282648907, 9.27 52.97)",DE15-DE03
DE15-DE12,"LINESTRING (11.55920332924497 51.99003282648907, 12.74 52.62)",DE15-DE12
DE16-DE03,"LINESTRING (11.31501513625953 50.92678923242283, 9.27 52.97)",DE16-DE03
DE16-DE14,"LINESTRING (11.31501513625953 50.92678923242283, 13.52187892758365 50.92827709054212)",DE16-DE14
DE16-DE15,"LINESTRING (11.31501513625953 50.92678923242283, 11.55920332924497 51.99003282648907)",DE16-DE15
