name,gid,geom
DE09-DE08,285,"LINESTRING(7.16369421422535 50.5749990662272,7.62207335548995 49.7001520403534)"
DE10-DE18,284,"LINESTRING(10.5713937805083 48.1987561268591,12.2359023642059 48.3413394003217)"
DE10-DE12,283,"LINESTRING(9.0280324462394 48.3259187891233,10.5713937805083 48.1987561268591)"
DE12-DE11,282,"LINESTRING(9.11768871718485 49.2613887299689,9.0280324462394 48.3259187891233)"
DE11-DE17,281,"LINESTRING(11.032699970576 49.6814629758601,9.11768871718485 49.2613887299689)"
DE12-DE17,280,"LINESTRING(11.032699970576 49.6814629758601,9.0280324462394 48.3259187891233)"
DE10-DE17,279,"LINESTRING(11.032699970576 49.6814629758601,10.5713937805083 48.1987561268591)"
DE18-DE17,278,"LINESTRING(11.032699970576 49.6814629758601,12.2359023642059 48.3413394003217)"
DE11-DE09,276,"LINESTRING(7.62207335548995 49.7001520403534,9.11768871718485 49.2613887299689)"
DE17-DE09,275,"LINESTRING(7.62207335548995 49.7001520403534,11.032699970576 49.6814629758601)"
DE17-DE16,274,"LINESTRING(9.20408180190541 50.9442682052912,11.032699970576 49.6814629758601)"
DE09-DE16,273,"LINESTRING(9.20408180190541 50.9442682052912,7.62207335548995 49.7001520403534)"
DE08-DE16,272,"LINESTRING(9.20408180190541 50.9442682052912,7.16369421422535 50.5749990662272)"
DE16-DE07,271,"LINESTRING(8.02611832789396 51.4252608448197,9.20408180190541 50.9442682052912)"
DE08-DE07,270,"LINESTRING(8.02611832789396 51.4252608448197,7.16369421422535 50.5749990662272)"
DE06-DE07,269,"LINESTRING(6.81528228797147 51.5249079905116,8.02611832789396 51.4252608448197)"
DE08-DE06,268,"LINESTRING(6.81528228797147 51.5249079905116,7.16369421422535 50.5749990662272)"
DE07-DE05,267,"LINESTRING(7.58542531620187 52.4803770144024,8.02611832789396 51.4252608448197)"
DE06-DE05,266,"LINESTRING(7.58542531620187 52.4803770144024,6.81528228797147 51.5249079905116)"
DE16-DE15,265,"LINESTRING(9.90838743949477 52.3927199053649,9.20408180190541 50.9442682052912)"
DE07-DE15,264,"LINESTRING(9.90838743949477 52.3927199053649,8.02611832789396 51.4252608448197)"
DE15-DE05,263,"LINESTRING(9.90838743949477 52.3927199053649,7.58542531620187 52.4803770144024)"
DE17-DE03,262,"LINESTRING(11.2610584435437 51.1220657255745,11.032699970576 49.6814629758601)"
DE16-DE03,261,"LINESTRING(11.2610584435437 51.1220657255745,9.20408180190541 50.9442682052912)"
DE03-DE15,260,"LINESTRING(11.2610584435437 51.1220657255745,9.90838743949477 52.3927199053649)"
DE03-DE04,259,"LINESTRING(13.4816030285055 51.2578258693709,11.2610584435437 51.1220657255745)"
DE04-DE01,258,"LINESTRING(12.7172655250026 53.0449917354247,13.4816030285055 51.2578258693709)"
DE03-DE01,257,"LINESTRING(12.7172655250026 53.0449917354247,11.2610584435437 51.1220657255745)"
DE15-DE01,256,"LINESTRING(12.7172655250026 53.0449917354247,9.90838743949477 52.3927199053649)"
DE01-DE14,255,"LINESTRING(12.7172655250026 53.0449917354247,8.70298124395035 53.2314717212254)"
DE01-DE19,254,"LINESTRING(12.7172655250026 53.0449917354247,12.7325189718575 54.605159132325)"
DE01-DE13,253,"LINESTRING(9.80582809869682 54.1888268326812,12.7172655250026 53.0449917354247)"
DE02-DE13,252,"LINESTRING(9.80582809869682 54.1888268326812,10.0272087462133 53.5545681838881)"
DE13-DE20,251,"LINESTRING(9.80582809869682 54.1888268326812,7.10297517567868 54.8700695240496)"
DE05-DE14,250,"LINESTRING(8.70298124395035 53.2314717212254,7.58542531620187 52.4803770144024)"
DE15-DE14,249,"LINESTRING(8.70298124395035 53.2314717212254,9.90838743949477 52.3927199053649)"
DE14-DE02,248,"LINESTRING(10.0272087462133 53.5545681838881,8.70298124395035 53.2314717212254)"
DE14-DE13,247,"LINESTRING(9.80582809869682 54.1888268326812,8.70298124395035 53.2314717212254)"
DE14-DE21,246,"LINESTRING(8.70298124395035 53.2314717212254,6.52270189161074 54.3418970056466)"
